@relation 'german_credit-weka.filters.unsupervised.attribute.Remove-R4,7-8,10-20'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute class {good,bad}

@data
>=200,12,'existing paid',1424,'no known savings','female div/dep/mar',good
0<=X<200,15,'delayed previously',1512,>=1000,'male mar/wid',bad
'no checking',36,'critical/other existing credit',11054,'no known savings','male single',good
'no checking',6,'existing paid',518,<100,'female div/dep/mar',good
'no checking',12,'no credits/all paid',2759,<100,'male single',good
'no checking',24,'existing paid',2670,<100,'male single',good
<0,24,'existing paid',4817,<100,'male single',bad
'no checking',24,'existing paid',2679,<100,'female div/dep/mar',good
<0,11,'critical/other existing credit',3905,<100,'male single',good
<0,12,'existing paid',3386,<100,'male single',bad
<0,6,'existing paid',343,<100,'female div/dep/mar',good
'no checking',18,'existing paid',4594,<100,'male single',good
<0,36,'existing paid',3620,<100,'male single',good
<0,15,'existing paid',1721,<100,'male single',good
0<=X<200,12,'existing paid',3017,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',754,'no known savings','male single',good
'no checking',18,'existing paid',1950,<100,'male single',good
<0,24,'existing paid',2924,<100,'male single',good
<0,24,'delayed previously',1659,<100,'female div/dep/mar',bad
'no checking',48,'delayed previously',7238,'no known savings','male single',good
'no checking',33,'delayed previously',2764,<100,'female div/dep/mar',good
'no checking',24,'delayed previously',4679,<100,'male single',good
0<=X<200,24,'existing paid',3092,100<=X<500,'male mar/wid',bad
<0,6,'existing paid',448,<100,'female div/dep/mar',bad
<0,9,'existing paid',654,<100,'male single',bad
'no checking',6,'existing paid',1238,'no known savings','male single',good
0<=X<200,18,'critical/other existing credit',1245,<100,'male mar/wid',bad
<0,18,'no credits/all paid',3114,<100,'female div/dep/mar',bad
'no checking',39,'existing paid',2569,500<=X<1000,'male single',good
>=200,24,'existing paid',5152,<100,'male single',good
0<=X<200,12,'existing paid',1037,100<=X<500,'male single',good
<0,15,'critical/other existing credit',1478,<100,'male single',good
0<=X<200,12,'critical/other existing credit',3573,<100,'female div/dep/mar',good
0<=X<200,24,'existing paid',1201,<100,'male single',good
<0,30,'existing paid',3622,>=1000,'female div/dep/mar',good
'no checking',15,'delayed previously',960,>=1000,'female div/dep/mar',good
'no checking',12,'critical/other existing credit',1163,500<=X<1000,'male single',good
0<=X<200,6,'delayed previously',1209,<100,'male single',bad
'no checking',12,'existing paid',3077,<100,'male single',good
'no checking',24,'existing paid',3757,<100,'female div/dep/mar',good
'no checking',10,'existing paid',1418,100<=X<500,'male single',good
'no checking',6,'existing paid',3518,<100,'male single',good
'no checking',12,'critical/other existing credit',1934,<100,'male single',good
0<=X<200,27,'no credits/all paid',8318,<100,'female div/dep/mar',bad
'no checking',6,'critical/other existing credit',1237,100<=X<500,'female div/dep/mar',good
0<=X<200,6,'existing paid',368,'no known savings','male single',good
<0,12,'critical/other existing credit',2122,<100,'male single',good
<0,24,'existing paid',2996,'no known savings','male mar/wid',bad
0<=X<200,36,'existing paid',9034,100<=X<500,'male single',bad
'no checking',24,'critical/other existing credit',1585,<100,'male single',good
0<=X<200,18,'existing paid',1301,<100,'male mar/wid',good
>=200,6,'critical/other existing credit',1323,100<=X<500,'male div/sep',good
<0,24,'existing paid',3123,<100,'female div/dep/mar',bad
<0,36,'existing paid',5493,<100,'male single',good
>=200,9,'existing paid',1126,100<=X<500,'male div/sep',good
0<=X<200,24,'critical/other existing credit',1216,100<=X<500,'male single',bad
<0,24,'existing paid',1207,<100,'female div/dep/mar',bad
'no checking',10,'existing paid',1309,'no known savings','male single',bad
>=200,15,'critical/other existing credit',2360,500<=X<1000,'male single',good
0<=X<200,15,'all paid',6850,100<=X<500,'male single',bad
'no checking',24,'existing paid',1413,<100,'male mar/wid',good
'no checking',39,'existing paid',8588,100<=X<500,'male single',good
<0,12,'existing paid',759,<100,'male single',bad
'no checking',36,'existing paid',4686,<100,'male single',good
>=200,15,'existing paid',2687,<100,'male single',good
0<=X<200,12,'delayed previously',585,<100,'male mar/wid',good
'no checking',24,'existing paid',2255,'no known savings','male single',good
<0,6,'critical/other existing credit',609,<100,'female div/dep/mar',good
<0,6,'critical/other existing credit',1361,<100,'male single',good
'no checking',36,'critical/other existing credit',7127,<100,'female div/dep/mar',bad
<0,6,'existing paid',1203,100<=X<500,'male single',good
'no checking',6,'critical/other existing credit',700,'no known savings','male single',good
'no checking',24,'critical/other existing credit',5507,<100,'male single',good
<0,18,'existing paid',3190,<100,'female div/dep/mar',bad
<0,48,'no credits/all paid',7119,<100,'male single',bad
'no checking',24,'existing paid',3488,100<=X<500,'female div/dep/mar',good
0<=X<200,18,'existing paid',1113,<100,'female div/dep/mar',good
0<=X<200,26,'existing paid',7966,<100,'male single',good
'no checking',15,'critical/other existing credit',1532,100<=X<500,'female div/dep/mar',good
'no checking',4,'critical/other existing credit',1503,<100,'male single',good
<0,36,'existing paid',2302,<100,'male div/sep',bad
<0,6,'existing paid',662,<100,'male single',good
0<=X<200,36,'existing paid',2273,<100,'male single',good
0<=X<200,15,'existing paid',2631,100<=X<500,'female div/dep/mar',bad
'no checking',12,'delayed previously',1503,<100,'male mar/wid',good
'no checking',24,'existing paid',1311,100<=X<500,'male mar/wid',good
'no checking',24,'existing paid',3105,'no known savings','male single',good
>=200,21,'critical/other existing credit',2319,<100,'male div/sep',bad
<0,6,'existing paid',1374,'no known savings','female div/dep/mar',good
0<=X<200,18,'critical/other existing credit',3612,<100,'female div/dep/mar',good
<0,48,'existing paid',7763,<100,'male single',bad
>=200,18,'existing paid',3049,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',1534,<100,'male mar/wid',bad
'no checking',24,'delayed previously',2032,<100,'male single',good
<0,30,'existing paid',6350,'no known savings','male single',bad
>=200,18,'existing paid',2864,<100,'male single',bad
'no checking',12,'critical/other existing credit',1255,<100,'male single',good
<0,24,'delayed previously',1333,<100,'male single',bad
'no checking',24,'critical/other existing credit',2022,<100,'female div/dep/mar',good
'no checking',24,'existing paid',1552,<100,'male single',good
<0,12,'all paid',626,<100,'female div/dep/mar',bad
'no checking',48,'critical/other existing credit',8858,'no known savings','male single',good
'no checking',12,'critical/other existing credit',996,'no known savings','female div/dep/mar',good
'no checking',6,'all paid',1750,500<=X<1000,'male single',good
<0,48,'existing paid',6999,<100,'male mar/wid',bad
0<=X<200,12,'critical/other existing credit',1995,100<=X<500,'male single',good
0<=X<200,9,'existing paid',1199,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',1331,<100,'male single',bad
0<=X<200,18,'no credits/all paid',2278,100<=X<500,'female div/dep/mar',bad
'no checking',21,'no credits/all paid',5003,'no known savings','female div/dep/mar',bad
<0,24,'all paid',3552,<100,'male single',bad
0<=X<200,18,'critical/other existing credit',1928,<100,'male single',bad
<0,24,'existing paid',2964,'no known savings','male single',good
<0,24,'all paid',1546,<100,'male single',bad
>=200,6,'delayed previously',683,<100,'female div/dep/mar',good
0<=X<200,36,'existing paid',12389,'no known savings','male single',bad
0<=X<200,24,'delayed previously',4712,'no known savings','male single',good
0<=X<200,24,'delayed previously',1553,100<=X<500,'female div/dep/mar',good
<0,12,'existing paid',1372,<100,'male div/sep',bad
'no checking',24,'critical/other existing credit',2578,>=1000,'male single',good
0<=X<200,48,'existing paid',3979,'no known savings','male single',good
<0,48,'existing paid',6758,<100,'female div/dep/mar',bad
<0,24,'existing paid',3234,<100,'female div/dep/mar',bad
'no checking',30,'critical/other existing credit',5954,<100,'male single',good
'no checking',24,'existing paid',5433,'no known savings','female div/dep/mar',good
<0,15,'existing paid',806,<100,'female div/dep/mar',good
0<=X<200,9,'existing paid',1082,<100,'male single',good
'no checking',15,'critical/other existing credit',2788,<100,'female div/dep/mar',good
0<=X<200,12,'existing paid',2930,<100,'female div/dep/mar',good
'no checking',24,'critical/other existing credit',1927,'no known savings','female div/dep/mar',good
0<=X<200,36,'critical/other existing credit',2820,<100,'male div/sep',bad
'no checking',24,'existing paid',937,<100,'male mar/wid',good
0<=X<200,18,'critical/other existing credit',1056,<100,'male single',bad
0<=X<200,12,'critical/other existing credit',3124,<100,'male single',good
'no checking',9,'existing paid',1388,<100,'female div/dep/mar',good
0<=X<200,36,'existing paid',2384,<100,'male single',bad
'no checking',12,'existing paid',2133,'no known savings','female div/dep/mar',good
<0,18,'existing paid',2039,<100,'female div/dep/mar',bad
<0,9,'critical/other existing credit',2799,<100,'male single',good
<0,12,'existing paid',1289,<100,'male single',good
<0,18,'existing paid',1217,<100,'male mar/wid',bad
<0,12,'critical/other existing credit',2246,<100,'male single',bad
<0,12,'critical/other existing credit',385,<100,'female div/dep/mar',good
0<=X<200,24,'delayed previously',1965,'no known savings','female div/dep/mar',good
'no checking',21,'existing paid',1572,>=1000,'female div/dep/mar',good
0<=X<200,24,'existing paid',2718,<100,'female div/dep/mar',bad
<0,24,'all paid',1358,'no known savings','male single',bad
0<=X<200,6,'all paid',931,100<=X<500,'female div/dep/mar',bad
<0,24,'existing paid',1442,<100,'female div/dep/mar',bad
0<=X<200,24,'no credits/all paid',4241,<100,'male single',bad
'no checking',18,'critical/other existing credit',2775,<100,'male single',bad
'no checking',24,'delayed previously',3863,<100,'male single',good
0<=X<200,7,'existing paid',2329,<100,'female div/dep/mar',good
0<=X<200,9,'existing paid',918,<100,'female div/dep/mar',bad
0<=X<200,24,'all paid',1837,<100,'female div/dep/mar',bad
'no checking',36,'existing paid',3349,<100,'female div/dep/mar',bad
>=200,10,'existing paid',1275,<100,'female div/dep/mar',good
<0,24,'all paid',2828,500<=X<1000,'male single',good
'no checking',24,'critical/other existing credit',4526,<100,'male single',good
0<=X<200,36,'existing paid',2671,100<=X<500,'female div/dep/mar',bad
'no checking',18,'existing paid',2051,<100,'male single',good
'no checking',15,'existing paid',1300,'no known savings','male single',good
<0,12,'existing paid',741,100<=X<500,'female div/dep/mar',bad
>=200,10,'existing paid',1240,100<=X<500,'female div/dep/mar',bad
<0,21,'existing paid',3357,>=1000,'female div/dep/mar',good
<0,24,'all paid',3632,<100,'female div/dep/mar',good
'no checking',18,'delayed previously',1808,<100,'female div/dep/mar',bad
0<=X<200,48,'no credits/all paid',12204,'no known savings','male single',good
0<=X<200,60,'delayed previously',9157,'no known savings','male single',good
<0,6,'critical/other existing credit',3676,<100,'male single',good
0<=X<200,30,'existing paid',3441,100<=X<500,'female div/dep/mar',bad
'no checking',12,'existing paid',640,<100,'male div/sep',good
0<=X<200,21,'critical/other existing credit',3652,<100,'male single',good
'no checking',18,'critical/other existing credit',1530,<100,'male single',bad
'no checking',48,'existing paid',3914,'no known savings','male div/sep',bad
<0,12,'existing paid',1858,<100,'female div/dep/mar',good
<0,18,'existing paid',2600,<100,'male single',bad
'no checking',15,'existing paid',1979,'no known savings','male single',good
>=200,6,'existing paid',2116,<100,'male single',good
0<=X<200,9,'all paid',1437,100<=X<500,'male single',bad
'no checking',42,'critical/other existing credit',4042,500<=X<1000,'male single',good
'no checking',9,'existing paid',3832,'no known savings','male single',good
<0,24,'existing paid',3660,<100,'female div/dep/mar',good
<0,18,'all paid',1553,<100,'male single',bad
0<=X<200,15,'existing paid',1444,'no known savings','male single',good
'no checking',9,'existing paid',1980,<100,'female div/dep/mar',bad
0<=X<200,24,'existing paid',1355,<100,'female div/dep/mar',bad
'no checking',12,'existing paid',1393,<100,'male single',good
'no checking',24,'existing paid',1376,500<=X<1000,'female div/dep/mar',good
'no checking',60,'delayed previously',15653,<100,'male single',good
'no checking',12,'existing paid',1493,<100,'female div/dep/mar',good
<0,42,'delayed previously',4370,<100,'male single',bad
<0,18,'existing paid',750,<100,'female div/dep/mar',bad
0<=X<200,15,'existing paid',1308,<100,'male single',good
'no checking',15,'existing paid',4623,100<=X<500,'male single',bad
'no checking',24,'critical/other existing credit',1851,<100,'male mar/wid',good
<0,18,'critical/other existing credit',1880,<100,'male mar/wid',good
'no checking',36,'delayed previously',7980,'no known savings','male single',bad
<0,30,'no credits/all paid',4583,<100,'male div/sep',good
'no checking',12,'existing paid',1386,500<=X<1000,'female div/dep/mar',bad
>=200,24,'existing paid',947,<100,'male single',bad
<0,12,'existing paid',684,<100,'male single',bad
<0,48,'existing paid',7476,<100,'male single',good
0<=X<200,12,'existing paid',1922,<100,'male single',bad
<0,24,'existing paid',2303,<100,'male single',bad
0<=X<200,36,'delayed previously',8086,100<=X<500,'male single',bad
'no checking',24,'critical/other existing credit',2346,<100,'male single',good
<0,14,'existing paid',3973,<100,'male single',good
0<=X<200,12,'existing paid',888,<100,'male single',bad
'no checking',48,'existing paid',10222,'no known savings','male single',good
0<=X<200,30,'no credits/all paid',4221,<100,'female div/dep/mar',good
0<=X<200,18,'critical/other existing credit',6361,<100,'male single',good
>=200,12,'existing paid',1297,<100,'male mar/wid',good
<0,12,'existing paid',900,'no known savings','male mar/wid',bad
'no checking',21,'existing paid',2241,<100,'male single',good
0<=X<200,6,'delayed previously',1050,<100,'male single',good
>=200,6,'critical/other existing credit',1047,<100,'female div/dep/mar',good
'no checking',24,'critical/other existing credit',6314,<100,'male single',good
0<=X<200,30,'all paid',3496,>=1000,'male single',good
'no checking',48,'all paid',3609,<100,'female div/dep/mar',good
<0,12,'critical/other existing credit',4843,<100,'male single',bad
>=200,30,'critical/other existing credit',3017,<100,'male single',good
'no checking',24,'critical/other existing credit',4139,100<=X<500,'male single',good
'no checking',36,'existing paid',5742,100<=X<500,'male single',good
'no checking',60,'existing paid',10366,<100,'male single',good
'no checking',6,'critical/other existing credit',2080,500<=X<1000,'male mar/wid',good
'no checking',21,'delayed previously',2580,500<=X<1000,'male single',bad
'no checking',30,'critical/other existing credit',4530,<100,'female div/dep/mar',good
'no checking',24,'critical/other existing credit',5150,<100,'male single',good
0<=X<200,72,'existing paid',5595,100<=X<500,'male mar/wid',bad
<0,24,'existing paid',2384,<100,'male single',good
'no checking',18,'existing paid',1453,<100,'female div/dep/mar',good
'no checking',6,'existing paid',1538,<100,'female div/dep/mar',good
'no checking',12,'existing paid',2279,'no known savings','male single',good
'no checking',15,'delayed previously',1478,<100,'male mar/wid',good
'no checking',24,'critical/other existing credit',5103,<100,'male mar/wid',good
0<=X<200,36,'delayed previously',9857,100<=X<500,'male single',good
'no checking',60,'existing paid',6527,'no known savings','male single',good
>=200,10,'critical/other existing credit',1347,'no known savings','male single',good
0<=X<200,36,'delayed previously',2862,100<=X<500,'male single',good
'no checking',9,'existing paid',2753,100<=X<500,'male single',good
<0,12,'existing paid',3651,>=1000,'male single',good
<0,15,'critical/other existing credit',975,<100,'male div/sep',good
0<=X<200,15,'existing paid',2631,100<=X<500,'female div/dep/mar',good
0<=X<200,24,'existing paid',2896,100<=X<500,'male single',good
<0,6,'critical/other existing credit',4716,'no known savings','male single',good
'no checking',24,'existing paid',2284,<100,'male single',good
'no checking',6,'existing paid',1236,500<=X<1000,'male single',good
0<=X<200,12,'existing paid',1103,<100,'male single',good
'no checking',12,'critical/other existing credit',926,<100,'female div/dep/mar',good
'no checking',18,'critical/other existing credit',1800,<100,'male single',good
>=200,15,'existing paid',1905,<100,'male single',good
'no checking',12,'existing paid',1123,500<=X<1000,'female div/dep/mar',bad
<0,48,'critical/other existing credit',6331,<100,'male single',bad
>=200,24,'existing paid',1377,100<=X<500,'female div/dep/mar',good
0<=X<200,30,'delayed previously',2503,100<=X<500,'male single',good
0<=X<200,27,'existing paid',2528,<100,'female div/dep/mar',good
'no checking',15,'existing paid',5324,500<=X<1000,'female div/dep/mar',good
0<=X<200,48,'existing paid',6560,100<=X<500,'male single',bad
0<=X<200,12,'no credits/all paid',2969,<100,'female div/dep/mar',bad
0<=X<200,9,'existing paid',1206,<100,'female div/dep/mar',good
0<=X<200,9,'existing paid',2118,<100,'male single',good
'no checking',18,'critical/other existing credit',629,500<=X<1000,'male single',good
<0,6,'all paid',1198,<100,'female div/dep/mar',bad
'no checking',21,'existing paid',2476,'no known savings','male single',good
<0,9,'critical/other existing credit',1138,<100,'male single',good
0<=X<200,60,'existing paid',14027,<100,'male single',bad
'no checking',30,'critical/other existing credit',7596,'no known savings','male single',good
'no checking',30,'critical/other existing credit',3077,'no known savings','male single',good
'no checking',18,'existing paid',1505,<100,'male single',good
>=200,24,'critical/other existing credit',3148,'no known savings','male single',good
0<=X<200,20,'no credits/all paid',6148,100<=X<500,'male mar/wid',good
>=200,9,'no credits/all paid',1337,<100,'male single',bad
0<=X<200,6,'all paid',433,>=1000,'female div/dep/mar',bad
<0,12,'existing paid',1228,<100,'female div/dep/mar',bad
0<=X<200,9,'existing paid',790,500<=X<1000,'female div/dep/mar',good
'no checking',27,'existing paid',2570,<100,'female div/dep/mar',bad
'no checking',6,'critical/other existing credit',250,>=1000,'female div/dep/mar',good
'no checking',15,'critical/other existing credit',1316,500<=X<1000,'male mar/wid',good
<0,18,'existing paid',1882,<100,'female div/dep/mar',bad
0<=X<200,48,'all paid',6416,<100,'female div/dep/mar',bad
>=200,24,'critical/other existing credit',1275,>=1000,'male div/sep',good
0<=X<200,24,'delayed previously',6403,<100,'male single',good
<0,24,'existing paid',1987,<100,'male single',bad
0<=X<200,8,'existing paid',760,<100,'female div/dep/mar',good
'no checking',24,'existing paid',2603,>=1000,'female div/dep/mar',good
'no checking',4,'critical/other existing credit',3380,<100,'female div/dep/mar',good
0<=X<200,36,'all paid',3990,'no known savings','female div/dep/mar',good
0<=X<200,24,'existing paid',11560,<100,'female div/dep/mar',bad
<0,18,'existing paid',4380,100<=X<500,'male single',good
'no checking',6,'critical/other existing credit',6761,<100,'male single',good
0<=X<200,30,'no credits/all paid',4280,100<=X<500,'female div/dep/mar',bad
<0,24,'all paid',2325,100<=X<500,'male single',good
0<=X<200,10,'all paid',1048,<100,'male single',good
'no checking',21,'existing paid',3160,'no known savings','male single',good
<0,24,'all paid',2483,500<=X<1000,'male single',good
<0,39,'critical/other existing credit',14179,'no known savings','male single',good
<0,13,'critical/other existing credit',1797,<100,'male single',good
<0,15,'existing paid',2511,<100,'female div/dep/mar',good
<0,12,'existing paid',1274,<100,'female div/dep/mar',bad
'no checking',21,'existing paid',5248,'no known savings','male single',good
'no checking',15,'existing paid',3029,<100,'male single',good
<0,6,'existing paid',428,<100,'female div/dep/mar',good
<0,18,'existing paid',976,<100,'female div/dep/mar',bad
0<=X<200,12,'existing paid',841,100<=X<500,'female div/dep/mar',good
'no checking',30,'critical/other existing credit',5771,<100,'female div/dep/mar',good
'no checking',12,'delayed previously',1555,>=1000,'male single',bad
<0,24,'existing paid',1285,'no known savings','female div/dep/mar',bad
>=200,6,'critical/other existing credit',1299,<100,'male single',good
>=200,15,'critical/other existing credit',1271,'no known savings','male single',bad
'no checking',24,'existing paid',1393,<100,'male single',good
<0,12,'critical/other existing credit',691,<100,'male single',bad
'no checking',15,'critical/other existing credit',5045,'no known savings','female div/dep/mar',good
<0,18,'critical/other existing credit',2124,<100,'female div/dep/mar',bad
<0,12,'existing paid',2214,<100,'male single',good
'no checking',21,'critical/other existing credit',12680,'no known savings','male single',bad
'no checking',24,'critical/other existing credit',2463,100<=X<500,'male mar/wid',good
0<=X<200,12,'existing paid',1155,<100,'male mar/wid',good
<0,30,'existing paid',3108,<100,'male div/sep',bad
'no checking',10,'existing paid',2901,'no known savings','female div/dep/mar',good
0<=X<200,12,'critical/other existing credit',3617,<100,'male single',good
'no checking',12,'critical/other existing credit',1655,<100,'male single',good
<0,24,'existing paid',2812,'no known savings','female div/dep/mar',good
<0,36,'critical/other existing credit',8065,<100,'female div/dep/mar',bad
'no checking',21,'critical/other existing credit',3275,<100,'male single',good
'no checking',24,'critical/other existing credit',2223,100<=X<500,'male single',good
>=200,12,'critical/other existing credit',1480,500<=X<1000,'male single',good
<0,24,'existing paid',1371,'no known savings','female div/dep/mar',bad
'no checking',36,'critical/other existing credit',3535,<100,'male single',good
<0,18,'existing paid',3509,<100,'female div/dep/mar',good
'no checking',36,'critical/other existing credit',5711,>=1000,'male single',good
0<=X<200,18,'existing paid',3872,<100,'female div/dep/mar',good
0<=X<200,39,'critical/other existing credit',4933,<100,'male single',bad
'no checking',24,'critical/other existing credit',1940,>=1000,'male single',good
0<=X<200,12,'no credits/all paid',1410,<100,'male single',good
0<=X<200,12,'existing paid',836,100<=X<500,'female div/dep/mar',bad
0<=X<200,20,'existing paid',6468,'no known savings','male div/sep',good
0<=X<200,18,'existing paid',1941,>=1000,'male single',good
'no checking',22,'existing paid',2675,500<=X<1000,'male single',good
'no checking',48,'critical/other existing credit',2751,'no known savings','male single',good
0<=X<200,48,'delayed previously',6224,<100,'male single',bad
<0,40,'critical/other existing credit',5998,<100,'male single',bad
0<=X<200,21,'existing paid',1188,<100,'female div/dep/mar',bad
'no checking',24,'existing paid',6313,'no known savings','male single',good
'no checking',6,'critical/other existing credit',1221,'no known savings','male mar/wid',good
>=200,24,'existing paid',2892,<100,'male div/sep',good
'no checking',24,'existing paid',3062,500<=X<1000,'male single',good
'no checking',9,'existing paid',2301,100<=X<500,'female div/dep/mar',good
<0,18,'existing paid',7511,'no known savings','male single',bad
'no checking',12,'critical/other existing credit',1258,<100,'female div/dep/mar',good
'no checking',24,'delayed previously',717,'no known savings','male mar/wid',good
0<=X<200,9,'existing paid',1549,'no known savings','male single',good
'no checking',24,'critical/other existing credit',1597,<100,'male single',good
0<=X<200,18,'critical/other existing credit',1795,<100,'female div/dep/mar',good
<0,20,'critical/other existing credit',4272,<100,'female div/dep/mar',good
'no checking',12,'critical/other existing credit',976,'no known savings','male single',good
0<=X<200,12,'existing paid',7472,'no known savings','female div/dep/mar',good
<0,36,'existing paid',9271,<100,'male single',bad
0<=X<200,6,'existing paid',590,<100,'male mar/wid',good
'no checking',12,'critical/other existing credit',930,'no known savings','male single',good
0<=X<200,42,'all paid',9283,<100,'male single',good
0<=X<200,15,'no credits/all paid',1778,<100,'female div/dep/mar',bad
0<=X<200,8,'existing paid',907,<100,'male mar/wid',good
0<=X<200,6,'existing paid',484,<100,'male mar/wid',good
<0,36,'critical/other existing credit',9629,<100,'male single',bad
<0,48,'existing paid',3051,<100,'male single',bad
<0,48,'existing paid',3931,<100,'male single',bad
0<=X<200,36,'delayed previously',7432,<100,'female div/dep/mar',good
'no checking',6,'existing paid',1338,500<=X<1000,'male div/sep',good
'no checking',6,'critical/other existing credit',1554,<100,'female div/dep/mar',good
<0,36,'existing paid',15857,<100,'male div/sep',good
<0,18,'existing paid',1345,<100,'male mar/wid',bad
'no checking',12,'existing paid',1101,<100,'male mar/wid',good
>=200,12,'existing paid',3016,<100,'male mar/wid',good
<0,36,'existing paid',2712,<100,'male single',bad
<0,8,'critical/other existing credit',731,<100,'male single',good
'no checking',18,'critical/other existing credit',3780,<100,'male div/sep',good
<0,21,'critical/other existing credit',1602,<100,'male mar/wid',good
<0,18,'critical/other existing credit',3966,<100,'female div/dep/mar',bad
'no checking',18,'no credits/all paid',4165,<100,'male single',bad
<0,36,'existing paid',8335,'no known savings','male single',bad
0<=X<200,48,'delayed previously',6681,'no known savings','male single',good
'no checking',24,'delayed previously',2375,500<=X<1000,'male single',good
<0,18,'existing paid',1216,<100,'female div/dep/mar',bad
<0,45,'no credits/all paid',11816,<100,'male single',bad
0<=X<200,24,'existing paid',5084,'no known savings','female div/dep/mar',good
>=200,15,'existing paid',2327,<100,'female div/dep/mar',bad
<0,12,'no credits/all paid',1082,<100,'male single',bad
'no checking',12,'existing paid',886,'no known savings','female div/dep/mar',good
'no checking',4,'existing paid',601,<100,'female div/dep/mar',good
<0,24,'critical/other existing credit',2957,<100,'male single',good
'no checking',24,'critical/other existing credit',2611,<100,'male mar/wid',good
<0,36,'existing paid',5179,<100,'male single',bad
'no checking',21,'delayed previously',2993,<100,'male single',good
'no checking',18,'existing paid',1943,<100,'female div/dep/mar',bad
'no checking',24,'all paid',1559,<100,'male single',good
'no checking',18,'existing paid',3422,<100,'male single',good
0<=X<200,21,'existing paid',3976,'no known savings','male single',good
'no checking',18,'existing paid',6761,'no known savings','male single',bad
'no checking',24,'existing paid',1249,<100,'male mar/wid',good
<0,9,'existing paid',1364,<100,'male single',good
<0,12,'existing paid',709,<100,'male single',bad
<0,20,'critical/other existing credit',2235,<100,'male mar/wid',bad
'no checking',24,'critical/other existing credit',4042,'no known savings','male single',good
'no checking',15,'critical/other existing credit',1471,<100,'male single',good
<0,18,'all paid',1442,<100,'male single',bad
'no checking',36,'delayed previously',10875,<100,'male single',good
'no checking',24,'existing paid',1474,100<=X<500,'male mar/wid',good
'no checking',10,'existing paid',894,'no known savings','female div/dep/mar',good
'no checking',15,'critical/other existing credit',3343,<100,'male single',good
<0,15,'existing paid',3959,<100,'female div/dep/mar',bad
'no checking',9,'existing paid',3577,100<=X<500,'male single',good
'no checking',24,'critical/other existing credit',5804,>=1000,'male single',good
'no checking',18,'delayed previously',2169,<100,'male mar/wid',bad
<0,24,'existing paid',2439,<100,'female div/dep/mar',bad
'no checking',27,'critical/other existing credit',4526,>=1000,'male single',good
'no checking',10,'existing paid',2210,<100,'male single',bad
'no checking',15,'existing paid',2221,500<=X<1000,'female div/dep/mar',good
<0,18,'existing paid',2389,<100,'female div/dep/mar',good
'no checking',12,'critical/other existing credit',3331,<100,'male single',good
'no checking',36,'existing paid',7409,'no known savings','male single',good
<0,12,'existing paid',652,<100,'female div/dep/mar',good
'no checking',36,'delayed previously',7678,500<=X<1000,'female div/dep/mar',good
>=200,6,'critical/other existing credit',1343,<100,'male single',good
<0,24,'critical/other existing credit',1382,100<=X<500,'male single',good
'no checking',15,'existing paid',874,'no known savings','female div/dep/mar',good
<0,12,'existing paid',3590,<100,'male single',good
0<=X<200,11,'critical/other existing credit',1322,>=1000,'female div/dep/mar',good
<0,18,'all paid',1940,<100,'male single',good
'no checking',36,'existing paid',3595,<100,'male single',good
<0,9,'existing paid',1422,<100,'male single',bad
'no checking',30,'critical/other existing credit',6742,'no known savings','male single',good
'no checking',24,'existing paid',7814,<100,'male single',good
'no checking',24,'existing paid',9277,'no known savings','male div/sep',good
0<=X<200,30,'critical/other existing credit',2181,'no known savings','male single',good
'no checking',18,'critical/other existing credit',1098,<100,'female div/dep/mar',good
0<=X<200,24,'existing paid',4057,<100,'male div/sep',bad
<0,12,'existing paid',795,<100,'female div/dep/mar',bad
0<=X<200,24,'critical/other existing credit',2825,'no known savings','male single',good
0<=X<200,48,'existing paid',15672,<100,'male single',bad
'no checking',36,'critical/other existing credit',6614,<100,'male single',good
'no checking',28,'all paid',7824,'no known savings','male single',good
<0,27,'critical/other existing credit',2442,<100,'male single',good
'no checking',15,'critical/other existing credit',1829,<100,'male single',good
<0,12,'critical/other existing credit',2171,<100,'male single',good
0<=X<200,36,'critical/other existing credit',5800,<100,'male single',good
'no checking',18,'critical/other existing credit',1169,'no known savings','male single',good
'no checking',36,'delayed previously',8947,'no known savings','male single',good
<0,21,'existing paid',2606,<100,'female div/dep/mar',good
'no checking',12,'critical/other existing credit',1592,>=1000,'female div/dep/mar',good
'no checking',15,'existing paid',2186,'no known savings','female div/dep/mar',good
<0,18,'existing paid',4153,<100,'male single',bad
<0,16,'critical/other existing credit',2625,<100,'male single',bad
'no checking',20,'critical/other existing credit',3485,'no known savings','male div/sep',good
'no checking',36,'critical/other existing credit',10477,'no known savings','male single',good
'no checking',15,'existing paid',1386,'no known savings','male mar/wid',good
'no checking',24,'existing paid',1278,<100,'male single',good
<0,12,'existing paid',1107,<100,'male single',good
<0,21,'existing paid',3763,'no known savings','male single',good
0<=X<200,36,'existing paid',3711,'no known savings','male mar/wid',good
